Name,Location,Locality,City,Cuisine,Rating,Votes,Cost,Unique_ID,Image_Path
Warehouse Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Fusion,  Italian,  Chinese",4.1,2335,2500,9fcf1cb6-77b8-4d62-80be-ff621a84a8a2,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/9fcf1cb6-77b8-4d62-80be-ff621a84a8a2.png
Padmanabham,"Janpath, Central Delhi", Central Delhi,Delhi,South Indian,4.2,223,700,f61eb1b0-f85d-4337-bc5c-2bac97faaf7c,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/f61eb1b0-f85d-4337-bc5c-2bac97faaf7c.png
Unplugged Courtyard,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental",4.1,1817,2000,39f07b84-8d59-4981-88b7-dcaaf0478d95,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/39f07b84-8d59-4981-88b7-dcaaf0478d95.png
38 Barracks,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.3,1301,1700,c45d0183-ca52-463d-ab49-a8d58f7b7ff7,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/c45d0183-ca52-463d-ab49-a8d58f7b7ff7.png
Ministry Of Beer,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Continental,  Oriental ,  Fusion",4,1501,2100,ac705b52-3731-4fdf-b6ce-99db4b0712de,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/ac705b52-3731-4fdf-b6ce-99db4b0712de.png
Sandoz,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.2,134,1500,c2c19e75-a2e6-4455-a013-5e7f71d2535a,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/c2c19e75-a2e6-4455-a013-5e7f71d2535a.png
Farzi Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Modern Indian,  Continental,  Finger Food",4.2,1410,2000,310b7f34-81f1-4f04-a662-13f2d3cc86ca,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/310b7f34-81f1-4f04-a662-13f2d3cc86ca.png
Openhouse Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  American,  Asian,  Modern Indian",4.2,1272,2200,444ebbf1-00b7-4f73-bb54-61f19b794a75,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/444ebbf1-00b7-4f73-bb54-61f19b794a75.png
Lord of the Drinks,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Continental,  Japanese,  Oriental ",4.2,2694,2000,b9614d67-018c-4f06-af6a-76dce869fc60,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/b9614d67-018c-4f06-af6a-76dce869fc60.png
Lazeez Affaire,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.2,845,2600,7b5aeb6e-2f79-4749-a179-e8b1562d9eda,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/7b5aeb6e-2f79-4749-a179-e8b1562d9eda.png
OTB Courtyard,"Connaught Place, Central Delhi", Central Delhi,Delhi,"World Cuisine,  Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  American,  Fast Food",4.1,297,2000,4c910c4a-4e56-4b5c-a6c0-c68c5fb0093d,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/4c910c4a-4e56-4b5c-a6c0-c68c5fb0093d.png
The Darzi Bar & Kitchen,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican,  European,  Oriental ",4.1,1624,2000,4ddfc182-38b1-4b33-b47e-b17b9341f67e,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/4ddfc182-38b1-4b33-b47e-b17b9341f67e.png
Route 04,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Finger Food,  Italian,  Continental,  American,  Tex Mex",4.2,388,2000,6eaa99e1-1398-4937-9d0d-7216da3f2ed3,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/6eaa99e1-1398-4937-9d0d-7216da3f2ed3.png
Kwality Restaurant,"Regal Cinema Complex,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental",4.5,416,2000,611a2b5a-29e5-411c-9f6e-e9b37e2920b6,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/611a2b5a-29e5-411c-9f6e-e9b37e2920b6.png
Castle Barbeque,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese",3.5,101,2000,6047e514-33a0-4437-8435-efb4531454f9,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/6047e514-33a0-4437-8435-efb4531454f9.png
